,price,exchange,pair,pairPrice,volume
0,28583.17,Binance,BTC/USDT,28583.17,5349967028.076761
1,28792.747499999998,BinanceFutures,BTC/BUSD,1.005,4213772585.8144946
2,28600.62,Mexc,BTC/USDT,28600.62,3227217435.837103
3,28788.385799999996,Binance,BTC/BUSD,1.005,1364240525.919101
4,28671.21,GDAX,BTC/USD,28671.21,1039216261.2086678
5,28671.21,Coinbase,BTC/USD,28671.21,1039216261.2086678
6,28578.9,OKEX,BTC/USDT,28578.9,818868520.1208646
7,28583.17,Bitrue,BTC/USDT,28583.17,699200312.6218109
8,28592.29,BitForex,BTC/USDT,28592.29,661818042.444761
9,28583.39,Whitebit,BTC/USDT,28583.39,607492861.6285549
10,28648.0,Gate.io,BTC/USDT,28648.0,572668898.95802
11,28628.26,BinanceUS,BTC/USD,28628.26,535811591.2969406
12,28604.83029125,Tidex,BTC/USDT,28604.83029125,503560519.4750221
13,28580.02,Bybit,BTC/USDT,28580.02,492787648.82553077
14,28583.04,Bitget,BTC/USDT,28583.04,408995136.672384
15,28821.877009999997,LBank,BTC/USDC,1.003,404585484.5027624
16,28587.87,CryptoMKT,BTC/USDT,28587.87,380203445.9580741
17,28584.12,Fmfw,BTC/USDT,28584.12,370225202.836847
18,28636.17,HitBTC,BTC/USD,28636.17,369916658.2092338
19,29228.26965848108,Upbit,BTC/KRW,37391000.0,340026918.8664213
20,28628.0,Kucoin,BTC/USDT,28628.0,333744575.7083476
21,28808.797889999998,BitForex,BTC/USDC,1.003,327159501.95338243
22,28706.1,Kraken,BTC/USD,28706.1,324088235.8959882
23,28621.69,BTCAlpha,BTC/USDT,28621.69,287758485.460694
24,28585.447024244593,Binance,ETH/BTC,1838.13,286651160.747133
25,28585.45,Xt,BTC/USDT,28585.45,278790999.36449903
26,28638.5,BinanceFutures,BTC/USDT,28638.5,253483057.86650002
27,28612.17,Latoken,BTC/USDT,28612.17,251398175.31475312
28,28581.798399005205,Bitrue,ETH/BTC,1838.81,250974243.37277
29,28593.43,HuobiPro,BTC/USDT,28593.43,244855132.65503058
30,28638.40090976,Coinsbit,BTC/USDT,28638.40090976,227982302.7414877
31,28750.453379999995,Bybit,BTC/USDC,1.003,210936771.09125528
32,28593.45000638018,BitForex,ETH/BTC,1839.7,204318839.28144
33,28669.25,Crypto.com,BTC/USD,28669.25,168476220.88207498
34,28575.806278628937,Binance,BTC/TUSD,0.9976756917067973,168236072.66565385
35,28721.0,Bitstamp,BTC/USD,28721.0,164226791.3442672
36,28643.55,Bkex,BTC/USDT,28643.55,159676952.5327
37,28507.2,BitMart,BTC/USDT,28507.2,137946926.19
38,28607.0,Bitfinex,BTC/USD,28607.0,125578129.86962678
39,28814.331283286396,Tidex,BTC/BUSD,1.005,123998100.26869133
40,28590.1,Bibox,BTC/USDT,28590.1,122422808.19999999
41,28583.16,DigiFinex,BTC/USDT,28583.16,97599633.676074
42,28687.378640000003,Kraken,BTC/EUR,26334.4,97442526.15290545
43,28714.188521273092,Coincheck,BTC/JPY,3767345.0,91170627.86146054
44,28594.08,BinanceUS,BTC/USDT,28594.08,89357649.61223093
45,28804.287682000006,Binance,BTC/EUR,26441.72,87847136.2684221
46,28622.07,BigOne,BTC/USDT,28622.07,81190074.27626568
47,28570.3,Btse,BTC/USD,28570.3,80062102.98730344
48,28691.8,Currency.com,BTC/USD,28691.8,78770003.138505
49,28432.09,P2PB2B,BTC/USDT,28432.09,76705372.84117314
50,29217.3,OKEXFutures,BTC/USD,29217.3,76388969.77068
51,28586.08,Crypto.com,BTC/USDT,28586.08,74374008.015088
52,28822.02847727385,Coinsbit,BTC/BUSD,1.005,72684088.40845725
53,28504.28544810881,BitMart,ETH/BTC,1835.79,66733913.677266
54,28792.616849999995,Xt,BTC/BUSD,1.005,59644431.89665985
55,28618.04818506569,LBank,ETH/BTC,1840.01,51877096.763211
56,28584.27,Bilaxy,BTC/USDT,28584.27,51189125.187915
57,28712.5,Deribit,BTC/USD,28712.5,50764277.269119374
58,28655.9192158046,Coinsbit,ETH/BTC,1842.36498457,50557948.01971465
59,28634.554387710683,Whitebit,ETH/BTC,1841.66,50170984.23492
60,29127.1,OKEXFutures,BTC/USDT,29127.1,46123927.934
61,29207.945649732435,Coinone,BTC/KRW,37365000.0,41707360.39636914
62,28715.266000000003,Bitstamp,BTC/EUR,26360.0,39538093.66793338
63,28748.93885,Binance,BTC/USDC,1.003,37475563.521302186
64,28659.894339500002,GDAX,BTC/EUR,26309.17,37452425.43467509
65,28659.894339500002,Coinbase,BTC/EUR,26309.17,37452425.43467509
66,29328.73847125805,Binance,BTC/TRY,558515.0,36979847.40745143
67,29162.368000000002,Fmfw,BTC/EURST,1.096,35013455.09378573
68,28631.05,GDAX,BTC/USDT,28631.05,34234935.66124134
69,28631.05,Coinbase,BTC/USDT,28631.05,34234935.66124134
70,28633.877099999994,P2PB2B,BTC/BUSD,1.005,33769620.72004665
71,28752.599799999996,OKEX,BTC/USDC,1.003,33399636.174388304
72,28792.214849999997,Bitrue,BTC/BUSD,1.005,32658302.16755828
73,28604.68370964732,Probit,ETH/BTC,1839.51,29980561.13744767
74,28801.70912732,CryptoMKT,BTC/USDC,1.003,29008997.04402896
75,28461.76,P2PB2B,BTC/USD,28461.76,28396158.7739936
76,28631.52,CoinTiger,BTC/USDT,28631.52,28273859.89
77,28809.233412659996,HitBTC,BTC/USDC,1.003,28118981.636583015
78,28745.58545992,Fmfw,BTC/USDC,1.003,28081371.85578284
79,28631.5,Probit,BTC/USDT,28631.5,27462428.491513453
80,28614.70350413111,Tidex,ETH/BTC,1840.89204,26347404.232317597
81,28571.60353001114,Binance,BTC/AUD,42523.6,26296206.175720252
82,28810.172,Bkex,BTC/USDC,1.003,25884682.819509197
83,28583.999253754544,Xt,ETH/BTC,1838.58,25785482.36505
84,28816.19,Deribit,BTC/USDC,1.003,23705033.56351
85,28633.0,Kraken,BTC/USDT,28633.0,23681369.88113919
86,28581.25834408,BitMart,BTC/DAI,0.999739,23272262.59371936
87,28600.15,LBank,BTC/USDT,28600.15,20962294.041525
88,28624.21848268998,Kucoin,ETH/BTC,1840.48,20531315.91074717
89,28560.52,CoinEx,BTC/USDT,28560.52,20459323.197169017
90,28680.34744830673,Bitbank,BTC/JPY,3762905.0,20249922.79385742
91,31416.00363998191,Exmo,ETH/BTC,2020.9912,17334754.216256417
92,30758.218451749737,BithumbGlobal,ETH/BTC,1450.25,17289749.281379998
93,19701.94,Gokumarket,BTC/USDT,19701.94,16924518.231513098
94,28684.70149253731,Kraken,ETH/BTC,1845.0,16855369.6628097
95,20821.116929000003,Gokumarket,BTC/EUR,19113.34,16092808.82195203
96,28665.5,itBit,BTC/USD,28665.5,15980439.231544266
97,28568.877154837704,BigOne,ETH/BTC,1839.55,15858247.481109498
98,28807.8191746091,Binance,BTC/BRL,151826.0,15719422.077999156
99,28677.483410864985,Binance,BTC/GBP,23286.98,15332624.013213065
100,28700.783039504407,GDAX,BTC/GBP,23305.9,15246307.16047404
101,28700.783039504407,Coinbase,BTC/GBP,23305.9,15246307.16047404
102,28697.231600000003,Xt,BTC/XTUSD,1.004,15225543.94702245
103,29291.19239280546,Btcturk,BTC/TRY,557800.0,15040925.939442951
104,28582.866915422885,OKEX,ETH/BTC,1838.45,14698005.8979221
105,28839.9825,LBank,BTC/BUSD,1.005,14117309.865665998
106,28681.169345000002,Currency.com,BTC/EUR,26328.7,14056763.543260114
107,28801.144999999997,Kucoin,BTC/USDC,1.003,13717810.058706693
108,29304.320392264406,Paribu,BTC/TRY,558050.0,13392834.006004168
109,28789.720628317235,Exmo,BTC/GBP,23378.12,13181893.353821222
110,28712.94,Gate.io,BTC/USD,28712.94,12992548.053256
111,28662.93532338308,GDAX,ETH/BTC,1843.6,12715361.441835096
112,28662.93532338308,Coinbase,ETH/BTC,1843.6,12715361.441835096
113,28812.716849999997,BinanceUS,BTC/BUSD,1.005,12096329.793054657
114,16550.6,CoinEgg,BTC/USDT,16550.6,12028994.947684
115,29081.306100755563,Luno,BTC/ZAR,526347.0,11662981.269710362
116,28711.42,Gemini,BTC/USD,28711.42,11268439.8958806
117,28583.44,ExMarkets,BTC/USDT,28583.44,11264301.32230312
118,28816.862009999993,Kraken,BTC/USDC,1.003,10703390.11540764
119,29227.487965836903,Bithumb,BTC/KRW,37390000.0,10643080.47462665
120,25294.347799999996,OKEX,BTC/USDK,1.031,10424341.75120864
121,24019.94,ZBCom,BTC/USDT,24019.94,9836763.526506
122,28603.4,Oceanex,BTC/USDT,28603.4,9056973.282133
123,31525.32,Exmo,BTC/USD,31525.32,9019817.496315202
124,28867.764106500006,Tidex,BTC/EUR,26499.99,8018214.9842557
125,28712.48211308128,Kraken,BTC/GBP,23315.4,7819267.574406595
126,28634.00522583053,HitBTC,ETH/BTC,1841.052,7787368.2790439995
127,28595.469456925635,CryptoMKT,ETH/BTC,1839.232,7783513.2166912
128,28577.378547229044,DigiFinex,ETH/BTC,1838.84,7774377.022451999
129,28658.553665634387,Vindax,ETH/BTC,1841.57,7113031.897524999
130,28605.0,Btcturk,BTC/USDT,28605.0,7106476.647911101
131,28614.528093557066,HuobiPro,ETH/BTC,1840.0,6767397.677897081
132,28676.62,OKCoin,BTC/USD,28676.62,6562799.340748
133,27948.618753996892,Mercatox,ETH/BTC,1770.0,6281904.345
134,28809.74071,BinanceUS,BTC/USDC,1.003,6068685.375123907
135,28602.5,Exmo,BTC/USDT,28602.5,5951486.810131924
136,28595.00279694201,ExMarkets,ETH/BTC,1840.26,5779441.424819999
137,28663.583687077058,Bitso,BTC/MXN,530990.0,5699761.538503168
138,28657.97831494,Binance,BTC/DAI,0.999739,5572930.101510125
139,28746.441379999997,DigiFinex,BTC/USDC,1.003,5519478.529932086
140,28619.3,COSS,BTC/USDT,28619.3,5434162.525391811
141,28622.94062791421,Bitfinex,ETH/BTC,1841.6,5408813.761896512
142,28600.22,Hotbit,BTC/USDT,28600.22,5384772.9160115
143,28457.112727385513,P2PB2B,ETH/BTC,1835.0,5114054.351
144,28793.56155,Mexc,BTC/BUSD,1.005,5094078.303002968
145,28717.542764560003,Bkex,BTC/DAI,0.999739,5059546.031834376
146,19713.525250402745,Gokumarket,ETH/BTC,1125.8,5031722.45862
147,28639.74,Cryptology,BTC/USDT,28639.74,5031223.318063449
